name,handedness,height,weight,avg,HR,Count,heightGroup
Tim Corcoran,L,71,175,0.27,12,1,70-71
Jim Spencer,L,74,195,0.25,146,1,74-75
Pete LaCock,L,74,200,0.257,27,1,74-75
Carl Morton,R,72,200,0.156,7,1,72-73
Gary Gray,R,72,187,0.24,24,1,72-73
Matty Alou,L,69,160,0.307,31,1,68-69
Pete Filson,B,74,195,0,0,1,74-75
Jim Dwyer,L,70,165,0.26,77,1,70-71
Dalton Jones,L,73,180,0.235,41,1,72-73
Rennie Stennett,R,71,160,0.274,41,1,70-71
Jim Gideon,R,75,190,0,0,1,74-75
Jerry May,R,74,190,0.234,15,1,74-75
Rich McKinney,R,71,185,0.225,20,1,70-71
Clint Hurdle,L,75,195,0.259,32,1,74-75
Mike Andrews,R,75,195,0.258,66,1,74-75
Bobby Clark,R,72,190,0.239,19,1,72-73
Jeff Twitty,L,74,185,0,0,1,74-75
Cliff Johnson,R,76,215,0.258,196,1,76-77
Steve Cummings,B,74,200,0,0,1,74-75
Donn Clendenon,R,76,209,0.274,159,1,76-77
Charlie James,R,73,195,0.255,29,1,72-73
Bob Horner,R,73,195,0.277,218,1,72-73
Tom Veryzer,R,73,175,0.241,14,1,72-73
Jose Cecena,R,71,180,0,0,1,70-71
George Smith,R,70,170,0.205,9,1,70-71
Jim Essian,R,74,195,0.244,33,1,74-75
Onix Concepcion,R,66,160,0.239,3,1,66-67
Boots Day,L,69,160,0.256,8,1,68-69
Brian Giles,R,73,165,0.228,10,1,72-73
Garry Maddox,R,75,175,0.285,117,1,74-75
Alex Trevino,R,70,165,0.249,23,1,70-71
Jim Price,R,72,192,0.214,18,1,72-73
Felix Millan,R,71,172,0.279,22,1,70-71
Steve Garvey,R,70,192,0.294,272,1,70-71
Don Mincher,L,75,205,0.249,200,1,74-75
Greg Erardi,R,73,190,0,0,1,72-73
Jim Farr,R,73,195,0,0,1,72-73
Tony Cloninger,R,72,210,0.192,11,1,72-73
Jim Gosger,L,71,185,0.226,30,1,70-71
Chuck Harrison,R,70,185,0.238,17,1,70-71
Mike Ivie,R,75,205,0.269,81,1,74-75
Frank Dimichele,R,75,205,0,0,1,74-75
Bob Veale,B,78,212,0.114,0,1,78-79
Marvell Wynne,L,71,175,0.247,40,1,70-71
Dusty Baker,R,74,183,0.278,242,1,74-75
Tucker Ashford,R,73,195,0.218,6,1,72-73
Ned Yost,R,73,190,0.212,16,1,72-73
Bob Stinson,B,71,180,0.25,33,1,70-71
Mike Warren,R,73,175,0,0,1,72-73
Gaylord Perry,R,76,205,0.131,6,1,76-77
Dave Marshall,L,73,182,0.246,16,1,72-73
Mickey Hatcher,R,74,200,0.28,38,1,74-75
Roger Repoz,L,75,190,0.224,82,1,74-75
Bill Fulton,R,75,195,0,0,1,74-75
John Orsino,R,75,215,0.249,40,1,74-75
Larry Anderson,R,75,190,0,0,1,74-75
Johnny Briggs,L,73,190,0.253,139,1,72-73
Craig Mitchell,R,75,180,0,0,1,74-75
Dave Hostetler,R,76,215,0.229,37,1,76-77
Bob Jones,L,74,195,0.221,20,1,74-75
Keith Hernandez,L,72,180,0.296,162,1,72-73
Alfredo Martinez,R,75,185,0,0,1,74-75
Dean Chance,R,75,200,0.066,0,1,74-75
Willie Upshaw,L,72,185,0.262,123,1,72-73
Dick Green,R,70,180,0.24,80,1,70-71
Dane Iorg,L,72,180,0.276,14,1,72-73
Richie Hebner,L,73,195,0.276,203,1,72-73
Fran Healy,R,77,220,0.25,20,1,76-77
Doc Edwards,R,74,215,0.238,15,1,74-75
Sandy Alomar,B,69,140,0.245,13,1,68-69
Joe Strain,R,70,169,0.25,1,1,70-71
Gene Richards,L,72,175,0.29,26,1,72-73
Buddy Bell,R,73,180,0.279,201,1,72-73
Al Woods,L,75,190,0.271,35,1,74-75
Rudy Law,L,73,165,0.271,18,1,72-73
Joel Davis,L,77,205,0,0,1,76-77
Jody Davis,R,76,192,0.245,127,1,76-77
Mike Edwards,R,70,154,0.25,2,1,70-71
Bill Mooneyham,R,72,175,0,0,1,72-73
John Hobbs,R,75,190,0,0,1,74-75
Deron Johnson,R,74,200,0.244,245,1,74-75
John Denny,R,75,185,0.17,0,1,74-75
Don Wert,R,70,162,0.242,77,1,70-71
Mike Fiore,L,72,175,0.227,13,1,72-73
Miguel Dilone,B,72,160,0.265,6,1,72-73
Greg Luzinski,R,73,220,0.276,307,1,72-73
Bobby Tolan,L,71,170,0.265,86,1,70-71
Karl Best,R,76,190,0,0,1,76-77
Steve Barr,L,76,200,0,0,1,76-77
Ron Woods,R,70,168,0.233,26,1,70-71
Tony Horton,R,75,210,0.268,76,1,74-75
Randy Hundley,R,71,170,0.236,82,1,70-71
Jose Tartabull,L,71,165,0.261,2,1,70-71
Ben Oglivie,L,74,160,0.273,235,1,74-75
Luis Sanchez,R,74,170,0,0,1,74-75
Bob Johnson,R,70,175,0.272,44,1,70-71
Don Buford,B,67,160,0.264,93,1,66-67
Duane Kuiper,L,72,175,0.271,1,1,72-73
Brant Alyea,R,75,215,0.247,38,1,74-75
Jerry Narron,L,75,205,0.211,21,1,74-75
Lou Johnson,R,71,170,0.258,48,1,70-71
Ken Retzer,L,72,185,0.264,14,1,72-73
Mike Brown,R,74,195,0.265,23,1,74-75
Greg Walker,L,75,205,0.26,113,1,74-75
Terry Harper,R,76,195,0.253,36,1,76-77
Jerry Royster,R,72,165,0.249,40,1,72-73
Steve Davis,L,73,195,0,0,1,72-73
Jeff Rineer,L,76,205,0,0,1,76-77
Barry Bonnell,R,75,190,0.272,56,1,74-75
Tom Seaver,R,73,195,0.154,12,1,72-73
Jerry Martin,R,73,195,0.251,85,1,72-73
Bill Stein,R,70,170,0.267,44,1,70-71
Joel Youngblood,R,72,180,0.265,80,1,72-73
Reggie Jackson,L,72,195,0.262,563,1,72-73
Sonny Jackson,L,69,150,0.251,7,1,68-69
Mark Mercer,L,77,220,0,0,1,76-77
Rodney Scott,B,72,160,0.236,3,1,72-73
Rich Coggins,L,68,170,0.265,12,1,68-69
Phil Gagliano,R,73,180,0.238,14,1,72-73
Jerry McNertney,R,72,180,0.237,27,1,72-73
Mitchell Page,L,74,205,0.266,72,1,74-75
Kiko Garcia,R,71,180,0.239,12,1,70-71
Larry Milbourne,B,72,161,0.254,11,1,72-73
Bill Sudakis,B,73,190,0.234,59,1,72-73
John Caneira,R,75,180,0,0,1,74-75
Domingo Ramos,R,70,154,0.24,8,1,70-71
Ron Oester,B,74,185,0.265,42,1,74-75
Glenn Adams,L,73,180,0.28,34,1,72-73
Clint Zavaras,R,73,175,0,0,1,72-73
Joe Morgan,L,67,160,0.271,268,1,66-67
R.J. Reynolds,B,72,190,0.267,35,1,72-73
Mike Parrott,R,76,210,0,0,1,76-77
Lee Thomas,L,74,195,0.255,106,1,74-75
Ray Fosse,R,74,215,0.256,61,1,74-75
Paul Popovich,B,72,175,0.233,14,1,72-73
John Stephenson,L,71,180,0.216,12,1,70-71
Doug Clemens,L,72,180,0.229,12,1,72-73
Luis Aponte,R,72,185,0,0,1,72-73
Orlando Mercado,R,72,180,0.199,7,1,72-73
Charley Smith,R,73,170,0.239,69,1,72-73
Paul Boris,R,74,200,0,0,1,74-75
Buddy Biancalana,B,71,160,0.205,6,1,70-71
De Wayne Buice,R,72,170,0,0,1,72-73
Bob Uecker,R,73,190,0.2,14,1,72-73
Felix Torres,R,71,165,0.254,27,1,70-71
Steve Braun,L,70,180,0.271,52,1,70-71
Ray Knight,R,73,185,0.271,84,1,72-73
Ty Cline,L,72,170,0.238,6,1,72-73
Thad Bosley,L,75,175,0.272,20,1,74-75
Bobby Grich,R,74,180,0.266,224,1,74-75
Jimmie Hall,L,72,175,0.254,121,1,72-73
John Boccabella,R,73,195,0.219,26,1,72-73
Brock Davis,L,70,160,0.26,1,1,70-71
Mark Esser,R,73,190,0,0,1,72-73
Curt Blefary,L,74,195,0.237,112,1,74-75
Daryl Smith,R,76,185,0,0,1,76-77
Dave Smith,R,73,190,0,0,1,72-73
Mack Jones,L,73,180,0.252,133,1,72-73
Buddy Bradford,R,71,170,0.226,52,1,70-71
Hosken Powell,L,73,175,0.259,17,1,72-73
Dave Stapleton,L,73,185,0,0,1,72-73
Dave Stapleton,R,73,178,0.271,41,1,72-73
Gary Ward,R,74,195,0.276,130,1,74-75
Jim Lonborg,R,77,200,0.136,3,1,76-77
Joe Lis,R,72,175,0.233,32,1,72-73
Dan Meyer,L,71,180,0.253,86,1,70-71
Jim Holt,L,72,180,0.265,19,1,72-73
Tom Klawitter,R,74,190,0,0,1,74-75
Larry Herndon,R,75,190,0.274,107,1,74-75
Gary Christenson,L,77,200,0,0,1,76-77
Jim Wright,R,77,205,0,0,1,76-77
Jim Wright,R,73,165,0,0,1,72-73
Wallace Johnson,B,72,173,0.255,5,1,72-73
Mike Kinnunen,L,73,185,0,0,1,72-73
Eddie Leon,R,72,170,0.236,24,1,72-73
Dave Rajsich,L,77,175,0,0,1,76-77
Jim Wohlford,R,71,175,0.26,21,1,70-71
J.R. Richard,R,80,222,0.168,10,1,80-81
Bill Voss,L,74,160,0.227,19,1,74-75
Keith Moreland,R,72,190,0.279,121,1,72-73
Ramon Pena,R,70,155,0,0,1,70-71
Alex Johnson,R,72,205,0.288,78,1,72-73
Wayne Krenchicki,L,73,180,0.266,15,1,72-73
Chico Escarrega,R,71,185,0,0,1,70-71
Dave Rosello,R,71,160,0.236,10,1,70-71
Cardell Camper,R,75,208,0,0,1,74-75
Paul Schaal,R,71,165,0.244,57,1,70-71
Tito Landrum,R,71,175,0.249,13,1,70-71
Dave Edwards,R,72,170,0.237,14,1,72-73
Mario Guerrero,R,70,155,0.257,7,1,70-71
Tom Tresh,B,73,180,0.245,153,1,72-73
Mike Overy,R,74,190,0,0,1,74-75
Ron Roenicke,B,72,180,0.238,17,1,72-73
Doug Griffin,R,72,160,0.245,7,1,72-73
Steve Blass,R,72,165,0.172,1,1,72-73
Johnnie LeMaster,R,74,165,0.222,22,1,74-75
Craig Chamberlain,R,73,190,0,0,1,72-73
Nate Oliver,R,70,160,0.226,2,1,70-71
Ray Sadecki,L,71,180,0.191,5,1,70-71
Ken Rudolph,R,73,180,0.213,6,1,72-73
Wayne Nordhagen,R,74,205,0.282,39,1,74-75
Biff Pocoroba,B,70,175,0.257,21,1,70-71
Len Matuszek,L,74,190,0.234,30,1,74-75
Frank Eufemia,R,71,185,0,0,1,70-71
Joe Lefebvre,L,70,170,0.258,31,1,70-71
Jim Maloney,L,74,190,0.201,7,1,74-75
Andre Robertson,R,70,155,0.251,5,1,70-71
Jerry Zimmerman,R,74,185,0.204,3,1,74-75
Jack Lazorko,R,71,200,0,0,1,70-71
Mike Paxton,R,71,190,0,0,1,70-71
Chet Lemon,R,72,190,0.273,215,1,72-73
Rickey Keeton,R,74,190,0,0,1,74-75
Phil Mankowski,L,72,180,0.264,8,1,72-73
Cleon Jones,R,72,185,0.281,93,1,72-73
Joaquin Andujar,B,72,170,0.127,5,1,72-73
Mike Lum,L,72,180,0.247,90,1,72-73
Johnny Grubb,L,75,175,0.278,99,1,74-75
Curt Motton,R,68,164,0.213,25,1,68-69
Johnny Bench,R,73,197,0.267,389,1,72-73
Dale Berra,R,72,180,0.236,49,1,72-73
Terry Felton,R,73,180,0,0,1,72-73
Bob Meacham,B,73,175,0.236,8,1,72-73
Mark Clear,R,76,200,0,0,1,76-77
Carl Warwick,R,70,170,0.248,31,1,70-71
Sam Bowens,R,73,188,0.223,45,1,72-73
George Wright,B,71,180,0.245,42,1,70-71
Luis Aguayo,R,69,173,0.236,37,1,68-69
Hal Lanier,R,74,180,0.228,8,1,74-75
Mike Pazik,L,74,195,0,0,1,74-75
Len Randle,B,70,169,0.257,27,1,70-71
Greg Pryor,R,72,180,0.25,14,1,72-73
Jim Traber,L,72,194,0.227,27,1,72-73
Dave Nelson,R,70,160,0.244,20,1,70-71
Lynn Jones,R,69,175,0.252,7,1,68-69
Bryan Little,B,70,160,0.245,3,1,70-71
Ken Suarez,R,69,175,0.227,5,1,68-69
Rick Peters,B,69,170,0.277,2,1,68-69
Ron Stone,L,74,185,0.241,6,1,74-75
Rich Barnes,R,76,186,0,0,1,76-77
Tommie Agee,R,71,195,0.255,130,1,70-71
Bob Bailey,R,73,180,0.257,189,1,72-73
Cap Peterson,R,74,195,0.23,19,1,74-75
Ted Uhlaender,L,74,190,0.263,36,1,74-75
Ted Simmons,B,71,193,0.285,248,1,70-71
Bobby Murcer,L,71,160,0.277,252,1,70-71
Dick Tracewski,R,71,160,0.213,8,1,70-71
Dave Frost,R,78,235,0,0,1,78-79
Mark Souza,L,72,180,0,0,1,72-73
Bill Nahorodny,R,74,200,0.241,25,1,74-75
Bill Madlock,R,71,180,0.305,163,1,70-71
Bob Boone,R,74,195,0.254,105,1,74-75
Rick Jones,L,77,190,0,0,1,76-77
Steve Kemp,L,72,195,0.278,130,1,72-73
Rick Burleson,R,70,165,0.273,50,1,70-71
Jim Dorsey,R,79,190,0,0,1,78-79
Mark Ciardi,R,72,180,0,0,1,72-73
Dennis Burtt,R,72,180,0,0,1,72-73
Carl Taylor,R,74,200,0.266,10,1,74-75
Terry Harmon,R,74,180,0.233,4,1,74-75
Mike Hargrove,L,72,195,0.29,80,1,72-73
Rich Yett,R,74,187,0,0,1,74-75
Steve Hovley,L,70,188,0.258,8,1,70-71
Don Leppert,R,74,220,0.229,15,1,74-75
Matt Williams,R,73,200,0,0,1,72-73
Jim Burton,R,75,195,0,0,1,74-75
Rick Anderson,R,74,210,0,0,1,74-75
Charlie Mitchell,R,75,170,0,0,1,74-75
Bill Paschall,R,72,175,0,0,1,72-73
John Bohnet,B,72,175,0,0,1,72-73
Byron McLaughlin,R,73,175,0,0,1,72-73
Lee May,R,75,195,0.267,354,1,74-75
Luis Quintana,L,74,175,0,0,1,74-75
Sam McDowell,L,77,190,0.154,2,1,76-77
Rick Renick,R,72,188,0.221,20,1,72-73
Jeff Torborg,R,72,195,0.214,8,1,72-73
Dave Campbell,R,73,180,0.213,20,1,72-73
Pat Kelly,L,73,185,0.264,76,1,72-73
Al Weis,B,72,160,0.219,7,1,72-73
Jerry Turner,L,69,180,0.257,45,1,68-69
Rick Auerbach,R,72,165,0.22,9,1,72-73
Keith Macwhorter,R,76,190,0,0,1,76-77
Don Wilson,R,74,195,0.146,1,1,74-75
Jaime Cocanower,R,76,200,0,0,1,76-77
Jeff Sellers,R,73,175,0,0,1,72-73
Sandy Valdespino,L,68,170,0.23,7,1,68-69
Steve Senteney,R,74,205,0,0,1,74-75
Howard Bailey,R,72,195,0,0,1,72-73
Jeff Bettendorf,R,75,180,0,0,1,74-75
Ken Phelps,L,73,209,0.239,123,1,72-73
Cesar Cedeno,R,74,175,0.285,199,1,74-75
Bob Davidson,R,72,185,0,0,1,72-73
Phil Linz,R,73,180,0.235,11,1,72-73
Manny Mota,R,70,160,0.304,31,1,70-71
Brian Snyder,L,75,185,0,0,1,74-75
Steve Renko,R,77,230,0.215,6,1,76-77
Rick Sofield,L,73,195,0.243,9,1,72-73
Carlos Velazquez,R,71,180,0,0,1,70-71
Roger Miller,R,75,200,0,0,1,74-75
Doug DeCinces,R,74,190,0.259,237,1,74-75
John Castino,R,71,175,0.278,41,1,70-71
Dave May,L,70,186,0.251,96,1,70-71
Ron Washington,R,71,155,0.261,20,1,70-71
Billy Grabarkewitz,R,70,165,0.236,28,1,70-71
Willie Aikens,L,75,220,0.271,110,1,74-75
Earl Williams,R,75,215,0.247,138,1,74-75
Willie Mueller,R,76,220,0,0,1,76-77
John Flinn,R,72,175,0,0,1,72-73
Don Hahn,R,73,180,0.236,7,1,72-73
Todd Cruz,R,72,175,0.22,34,1,72-73
Tom Egan,R,76,218,0.2,22,1,76-77
Bob Heise,R,72,175,0.247,1,1,72-73
Tommy Harper,R,69,165,0.257,146,1,68-69
Joe Wallis,B,71,180,0.244,16,1,70-71
Max Alvis,R,71,185,0.247,111,1,70-71
Rico Carty,R,75,200,0.299,204,1,74-75
Mike Cubbage,L,72,180,0.258,34,1,72-73
Les Straker,R,73,193,0,0,1,72-73
Merritt Ranew,L,71,170,0.247,8,1,70-71
Lyman Bostock,L,73,180,0.311,23,1,72-73
Damaso Garcia,R,73,165,0.283,36,1,72-73
Don Kainer,R,75,205,0,0,1,74-75
Don Gordon,R,73,175,0,0,1,72-73
Roy Howell,L,73,190,0.261,80,1,72-73
Boog Powell,L,76,230,0.266,339,1,76-77
Sandy Wihtol,R,73,195,0,0,1,72-73
Sonny Siebert,R,75,190,0.173,12,1,74-75
Jeff Richardson,R,75,185,0,0,1,74-75
Bobby Darwin,R,74,190,0.251,83,1,74-75
Dennis DeBarr,L,74,190,0,0,1,74-75
Dan Driessen,L,71,187,0.267,153,1,70-71
Bruce Miller,R,73,185,0.246,1,1,72-73
Bob Bailor,R,71,170,0.264,9,1,70-71
Tommy Helms,R,70,165,0.269,34,1,70-71
Tony Armas,R,71,182,0.252,251,1,70-71
Willie Horton,R,71,209,0.273,325,1,70-71
Lou Piniella,R,72,182,0.291,102,1,72-73
Butch Hobson,R,73,193,0.248,98,1,72-73
John Wathan,R,74,205,0.262,21,1,74-75
Hal King,L,73,200,0.214,24,1,72-73
Mike Krukow,R,77,205,0.193,5,1,76-77
Andres Mora,R,72,180,0.223,27,1,72-73
Barry Foote,R,75,205,0.23,57,1,74-75
Ed Ott,L,70,190,0.259,33,1,70-71
Alan Wiggins,B,74,160,0.259,5,1,74-75
Ron Clark,R,70,175,0.189,5,1,70-71
Jay Pettibone,R,76,182,0,0,1,76-77
Glen Cook,R,71,180,0,0,1,70-71
Julio Gotay,R,72,180,0.26,6,1,72-73
Gary Alexander,R,74,195,0.23,55,1,74-75
Andre Thornton,R,75,200,0.254,253,1,74-75
Bob Oliver,R,75,205,0.256,94,1,74-75
Bill Castro,R,71,170,0,0,1,70-71
Ed Hodge,L,74,192,0,0,1,74-75
Tom Buskey,R,75,200,0,0,1,74-75
Bruce Taylor,R,72,178,0,0,1,72-73
Stan Thomas,R,74,185,0,0,1,74-75
Bob Robertson,R,73,195,0.242,115,1,72-73
Larry Monroe,R,76,200,0,0,1,76-77
Roger Slagle,R,75,190,0,0,1,74-75
Ollie Brown,R,74,178,0.265,102,1,74-75
Jim Campbell,L,71,175,0,0,1,70-71
Frank Quilici,R,73,170,0.214,5,1,72-73
Curt Kaufman,R,74,175,0,0,1,74-75
Joe Pepitone,L,74,185,0.258,219,1,74-75
Steve Barber,L,72,195,0.115,5,1,72-73
De Wayne Vaughn,R,71,180,0,0,1,70-71
Norm Miller,L,70,185,0.238,24,1,70-71
Bob Galasso,L,73,205,0,0,1,72-73
Rich Wortham,R,72,185,0,0,1,72-73
Bob Chance,L,74,196,0.261,24,1,74-75
Julio Cruz,B,69,165,0.237,23,1,68-69
Bill Sample,R,69,175,0.272,46,1,68-69
Juan Nieves,L,75,175,0,0,1,74-75
Mike Bacsik,R,74,180,0,0,1,74-75
Craig Kusick,R,75,210,0.235,46,1,74-75
Rudy Meoli,L,69,165,0.212,2,1,68-69
Ruppert Jones,L,70,170,0.25,147,1,70-71
Glenn Hoffman,R,73,175,0.242,23,1,72-73
Russ Gibson,R,73,195,0.228,8,1,72-73
Phil Huffman,R,74,180,0,0,1,74-75
Terry Francona,L,73,190,0.274,16,1,72-73
John Bateman,R,75,210,0.23,81,1,74-75
Luis Pujols,R,74,175,0.193,6,1,74-75
Joe Gaines,R,73,190,0.241,21,1,72-73
Doug Rader,R,74,208,0.251,155,1,74-75
Mickey Stanley,R,73,185,0.248,117,1,72-73
Steve Brown,R,77,200,0,0,1,76-77
Rick Lysander,R,74,190,0,0,1,74-75
Phil Bradley,R,72,185,0.286,78,1,72-73
Winston Llenas,R,70,165,0.23,3,1,70-71
Charlie Moore,R,71,180,0.261,36,1,70-71
Ralph Garr,L,71,185,0.306,75,1,70-71
Tommy John,R,75,180,0.157,5,1,74-75
Bruce Benedict,R,73,175,0.242,18,1,72-73
John Ellis,R,74,225,0.262,69,1,74-75
Wes Parker,B,73,180,0.267,64,1,72-73
Mel Stottlemyre,R,72,190,0,0,1,72-73
David Green,R,75,170,0.268,31,1,74-75
Reid Nichols,R,71,165,0.266,22,1,70-71
Rick Reichardt,R,75,210,0.261,116,1,74-75
Luis Tiant,R,72,180,0.164,5,1,72-73
Alex Sanchez,R,74,185,0,0,1,74-75
Broderick Perkins,L,70,180,0.271,8,1,70-71
Leon Roberts,R,75,200,0.267,78,1,74-75
Ray Burris,R,77,200,0.151,1,1,76-77
Len Gabrielson,L,76,210,0.253,37,1,76-77
Johnny Edwards,L,76,220,0.242,81,1,76-77
Paul Wilmet,R,71,170,0,0,1,70-71
Tom Grieve,R,74,190,0.249,65,1,74-75
Bruce Ellingsen,L,72,180,0,0,1,72-73
Bob Forsch,R,76,200,0.213,12,1,76-77
Gorman Heimueller,L,76,195,0,0,1,76-77
Danny Cater,R,72,170,0.276,66,1,72-73
Bill Schroeder,R,74,200,0.24,61,1,74-75
Clay Dalrymple,L,72,190,0.233,55,1,72-73
Carlos May,L,71,200,0.274,90,1,70-71
Reggie Smith,B,72,180,0.287,314,1,72-73
Ron Reed,R,78,215,0.158,0,1,78-79
Fred Howard,R,75,190,0,0,1,74-75
Davey Johnson,R,73,170,0.261,136,1,72-73
Ellis Valentine,R,76,205,0.278,123,1,76-77
Roy White,B,70,160,0.271,160,1,70-71
Mike Brumley,L,70,195,0.229,5,1,70-71
Al Luplow,L,70,175,0.235,33,1,70-71
John Hoover,R,74,190,0,0,1,74-75
Dick Allen,R,71,187,0.292,351,1,70-71
Doug Ault,R,75,200,0.236,17,1,74-75
Mark Wagner,R,72,165,0.243,3,1,72-73
Mike Walters,R,77,203,0,0,1,76-77
Willie Stargell,L,74,188,0.282,475,1,74-75
Steve Carlton,L,76,210,0.201,13,1,76-77
Jake Wood,R,73,163,0.25,35,1,72-73
Del Unser,L,73,180,0.258,87,1,72-73
Bob Brower,R,71,185,0.242,17,1,70-71
Ray Culp,R,72,200,0.123,1,1,72-73
Ivan Murrell,R,74,195,0.236,33,1,74-75
Lee Mazzilli,B,73,180,0.259,93,1,72-73
Garth Iorg,R,71,170,0.258,20,1,70-71
Alan Ashby,B,74,185,0.245,90,1,74-75
Bob Brenly,R,74,210,0.247,91,1,74-75
Ron Blomberg,L,73,195,0.293,52,1,72-73
Jim Rooker,R,72,195,0.201,7,1,72-73
Tim Blackwell,B,71,170,0.228,6,1,70-71
Colby Ward,R,74,185,0,0,1,74-75
Jerry Morales,R,70,155,0.259,95,1,70-71
Davey Lopes,R,69,170,0.263,155,1,68-69
Catfish Hunter,R,72,190,0.226,6,1,72-73
Mario Soto,R,72,174,0.132,1,1,72-73
Jimmy Wynn,R,70,160,0.25,291,1,70-71
Hank Allen,R,72,190,0.241,6,1,72-73
Jim Fregosi,R,73,190,0.265,151,1,72-73
Pepe Frias,R,70,159,0.24,1,1,70-71
Mike Schmidt,R,74,195,0.267,548,1,74-75
Willie Montanez,L,72,170,0.275,139,1,72-73
Rey Quinones,R,71,160,0.243,29,1,70-71
Mike Squires,L,71,185,0.26,6,1,70-71
Champ Summers,L,74,205,0.255,54,1,74-75
Chuck Porter,R,75,187,0,0,1,74-75
Bert Campaneris,R,70,160,0.259,79,1,70-71
Bobby Valentine,R,70,189,0.26,12,1,70-71
Rob Andrews,R,72,185,0.251,3,1,72-73
Tom Haller,L,76,195,0.257,134,1,76-77
Tom Dozier,R,74,190,0,0,1,74-75
Ed Stroud,L,71,180,0.237,14,1,70-71
Ron Swoboda,R,74,195,0.242,73,1,74-75
Harry Spilman,L,73,180,0.237,18,1,72-73
Bob Barton,R,72,175,0.226,9,1,72-73
Daryl Sconiers,L,74,185,0.265,15,1,74-75
Joe Torre,R,74,212,0.297,252,1,74-75
Al Ferrara,R,73,200,0.259,51,1,72-73
Rick Steirer,R,76,200,0,0,1,76-77
Sixto Lezcano,R,70,165,0.271,148,1,70-71
Al Lachowicz,R,75,198,0,0,1,74-75
Dave Nicholson,R,74,215,0.212,61,1,74-75
Freddie Patek,R,65,148,0.242,41,1,64-65
Ken Hubbs,R,74,175,0.247,14,1,74-75
Pepe Mangual,R,70,157,0.242,16,1,70-71
Leron Lee,L,72,196,0.25,31,1,72-73
Tom McCarthy,R,72,180,0,0,1,72-73
Steve Ontiveros,B,72,185,0.274,24,1,72-73
Willie Davis,L,74,180,0.279,182,1,74-75
Tom Lawless,R,71,170,0.207,2,1,70-71
Jerry Moses,R,75,210,0.251,25,1,74-75
Bobby Bonds,R,73,190,0.268,332,1,72-73
Dave McNally,R,71,185,0.133,9,1,70-71
Darrell Brown,B,72,184,0.274,1,1,72-73
Roy Foster,R,72,185,0.253,45,1,72-73
Denis Menke,R,72,185,0.25,101,1,72-73
Hal Breeden,R,74,200,0.243,21,1,74-75
Manny Trillo,R,73,150,0.263,61,1,72-73
Jackie Gutierrez,R,71,175,0.237,4,1,70-71
Jerry Kenney,L,73,170,0.237,7,1,72-73
Fred Kendall,R,73,185,0.234,31,1,72-73
Mike Anderson,R,74,200,0.246,28,1,74-75
Jim Lewis,R,75,190,0,0,1,74-75
Joe Charboneau,R,74,205,0.266,29,1,74-75
Jimmie Schaffer,R,69,170,0.223,11,1,68-69
Junior Kennedy,R,71,175,0.248,4,1,70-71
Wilbur Howard,B,74,170,0.25,6,1,74-75
Rod Gilbreath,R,74,180,0.248,14,1,74-75
Mark Brouhard,R,73,210,0.259,25,1,72-73
Dan Morogiello,L,73,200,0,0,1,72-73
Mike Young,B,74,195,0.247,72,1,74-75
Chris Speier,R,73,175,0.246,112,1,72-73
Gene Michael,B,74,183,0.229,15,1,74-75
Vic Harris,B,71,165,0.217,13,1,70-71
Mike Fischlin,R,73,165,0.22,3,1,72-73
Don Money,R,73,170,0.261,176,1,72-73
Joe Rudi,R,74,200,0.264,179,1,74-75
Jim Rice,R,74,200,0.298,382,1,74-75
Shawn Holman,R,74,185,0,0,1,74-75
Alan Wirth,R,76,190,0,0,1,76-77
Gil Garrido,R,69,150,0.237,1,1,68-69
Marty Perez,R,71,160,0.246,22,1,70-71
Tom Matchick,L,73,173,0.215,4,1,72-73
Jack Perconte,L,70,160,0.27,2,1,70-71
Ed Kirkpatrick,L,71,195,0.238,85,1,70-71
Jerry Grote,R,70,185,0.252,39,1,70-71
Ellie Hendricks,L,73,175,0.22,62,1,72-73
Jim Beauchamp,R,74,190,0.231,14,1,74-75
Terry Wilshusen,R,74,210,0,0,1,74-75
Tito Fuentes,B,71,175,0.268,45,1,70-71
Ron Brand,R,67,167,0.239,3,1,66-67
Leo Cardenas,R,71,150,0.257,118,1,70-71
Art Shamsky,L,73,168,0.253,68,1,72-73
Steve Ellsworth,R,80,220,0,0,1,80-81
Ron Cey,R,70,185,0.261,316,1,70-71
Skip Jutze,R,71,190,0.215,3,1,70-71
Butch Wynegar,B,73,190,0.255,65,1,72-73
Ron LeFlore,R,72,200,0.288,59,1,72-73
Bill Russell,R,72,175,0.263,46,1,72-73
Gene Tenace,R,72,190,0.241,201,1,72-73
Bubba Morton,R,70,175,0.267,14,1,70-71
Ellie Rodriguez,R,71,185,0.245,16,1,70-71
Darrel Chaney,B,74,188,0.217,14,1,74-75
Dick Nen,L,74,200,0.224,21,1,74-75
Bryan Kelly,R,74,195,0,0,1,74-75
Bill Freehan,R,75,203,0.262,200,1,74-75
Steve Nicosia,R,70,185,0.248,11,1,70-71
Ted Savage,R,73,185,0.233,34,1,72-73
Pete Mackanin,R,74,190,0.226,30,1,74-75
Rich Dauer,R,72,180,0.257,43,1,72-73
Mick Kelleher,R,69,176,0.213,0,1,68-69
Rowland Office,L,72,170,0.259,32,1,72-73
Rick Leach,L,73,180,0.268,18,1,72-73
Dwayne Murphy,L,73,185,0.246,166,1,72-73
